id,screen_name,year,xinzuo,followers_count,friends_count,gender,location,mbrank,verified,verified_type
7640,夏橙柠檬冰,-1,白羊座,22,19,f,辽宁,4,False,-1
7641,SecureContainProtect-096,-1,射手座,3521,434,f,广东,6,False,-1
7642,要努力赚钱钱的NN,-1,天秤座,241,349,f,广东,7,False,-1
7643,取名字好麻烦啊sy,20,摩羯座,36,188,f,湖南,4,False,-1
7644,喵喵在等待你的第二颗糖,00,双鱼座,876,600,f,重庆,6,True,0
7645,珞珞的猫酱,90,天秤座,10878,1066,f,浙江,6,True,0
7646,再也不想周末加班,90,双子座,192,106,f,上海,1,False,-1
7647,狐狸的小D_,-1,射手座,73,389,f,江苏,1,True,0
7648,浅岸白栀2333,00,双子座,28,155,f,海南,1,False,-1
7649,椿花漫蔓,00,金牛座,51,294,f,辽宁,2,False,-1
7650,想念一个人hqf,80,双子座,4,114,f,云南,0,False,-1
7651,快嘴姜铁莲,-1,天蝎座,77,289,f,四川,3,True,0
7652,椰香摇摇奶昔,00,巨蟹座,120,611,f,浙江,5,False,-1
7653,拖延症能治不,90,水瓶座,126,656,m,广东,0,False,-1
7654,火丁成灯,00,双鱼座,74,131,f,四川,1,False,-1
7655,云簌Ayane,-1,摩羯座,1401,285,f,上海,2,False,-1
7656,熱愛繃帶的奈奈生小姐,90,天蝎座,1457,963,f,广东,0,True,0
7657,ruihoo1,-1,双鱼座,5,115,f,辽宁,1,False,-1
7658,小马加冰·,-1,天秤座,224,459,f,河南,6,True,0
7659,_阿图er,-1,摩羯座,196,316,f,湖南,1,False,-1
7660,英雄嘉乐,-1,巨蟹座,593,2235,m,广东,1,False,220
7661,给我一杯初恋青提,90,摩羯座,203,284,f,北京,6,True,0
7662,记得接电话I-I,-1,白羊座,9,150,f,上海,1,False,-1
7663,就叫芝士玉米粒,00,摩羯座,64,217,m,广东,1,False,-1
7664,AK想放火箭,00,巨蟹座,309,1205,f,广东,6,True,0
7665,摆烂中丶,00,摩羯座,102395,451,m,山西,6,True,0
7666,锅儿啊,90,水瓶座,1162,296,f,四川,8,True,0
7667,云云云云雀恭弥,90,天秤座,1152,1075,f,江苏,4,False,-1
7668,桃子汽水味B,00,双子座,269,573,m,北京,2,False,-1
7669,DkssilkA,-1,射手座,117,523,f,海南,1,False,-1
7670,渣客镇的杰小尼,00,双子座,1098,274,f,江西,4,False,-1
7671,西番妮_待机中,-1,射手座,1304,735,f,上海,6,True,0
7672,Hahhhawxl,-1,射手座,131,81,f,辽宁,2,False,-1
7673,一碗清汤冒菜,90,狮子座,159,320,m,四川,0,False,-1
7674,醉大冷,40,摩羯座,6075,460,f,重庆,6,False,220
7675,丶炸毛兔子-,00,处女座,511,189,f,四川,3,False,-1
7676,饭球球球,-1,狮子座,1163,873,f,江苏,6,False,-1
7677,赵小小小小啊,00,天蝎座,21,176,f,湖北,0,False,-1
7678,写在她眼睛里,00,天蝎座,18,144,f,山东,4,False,-1
7679,咚咚咚咚漂_喵酱,90,射手座,41828,806,m,广东,7,True,0
7680,ARTIST蔡_,-1,天秤座,47,83,f,上海,2,True,0
7681,雨里纯净水,-1,双子座,2,218,m,广东,0,False,-1
7682,橙子_HIKARI,10,射手座,337,586,f,上海,6,False,-1
7683,来杯抹茶latte,00,处女座,39,370,f,北京,7,True,0
7684,易烊千玺快来南京,-1,天秤座,81,114,f,江苏,1,False,-1
7685,困白碱水球,-1,白羊座,103,716,m,浙江,1,False,-1
7686,_巧巧巧克力玥儿,-1,射手座,2036,594,f,宁夏,7,False,-1
7687,肖小瑶Leah,00,水瓶座,157,284,f,广东,6,False,-1
7688,雨里纯净水,-1,双子座,2,218,m,广东,0,False,-1
7689,一起看流星吗·,-1,水瓶座,160,114,f,河南,3,False,-1
7690,楚庄王_,00,狮子座,119,293,f,宁夏,1,False,-1
